ID,UFINCA,DERECHOS,PLANO_CAT,AREA_PL,AREA_ER,PROVINCIA,CANTON,DISTRITO,DIRECCION,TELEFONO,IMAGEN_PC,IMAGEN_EC,IMAGEN_EP,IMAGEN_PJ,OBSERVAC
"66",1-00311497,"1",NO SE INDICA,,"14,223.81",SAN JOSE,SANTA ANA ,BRASIL,,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00311497\1-00311497.pdf,,,
"72",2-00103600,"4",NO SE INDICA,,"150,070.90",ALAJUELA,ATENAS,ESCOBAL,,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00103600\2-00103600.pdf,,,
"76",1-00419969,"6",NO SE INDICA,,"30,623.79",SAN JOSE,SANTA ANA ,BRASIL,,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00419969\1-00419969.pdf,,,
"23",2-00494506,"1",A-1839566-2015,"688","688",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00494506\A-1839566-2015.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00494506\2-00494506.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00494506\A-1839566-2015_EP.pdf,,
"24",2-00253834,"1",A-0864898-1989,"1,536.87","1,100.35",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00253834\A-0864898-1989.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00253834\2-00253834.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00253834\A-0864898-1989_EP.pdf,,
"25",2-00212957,"1",A-1290950-2008,"43,772.33","42,949.23",ALAJUELA,ATENAS,ESCOBAL,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00212957\A-1290950-2008.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00212957\2-00212957.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00212957\A-1290950-2008_EP.pdf,,
"26",2-00284397,"3",A-0146395-1993,"1,080.95","1,080.95",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284397\A-0146395-1993.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284397\2-00284397.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284397\A-0146395-1993_EP.pdf,,
"65",1-00074451-A,"1",SJ-1692620-2013,"24,776.00","24,776.00",SAN JOSE,SANTA ANA ,BRASIL,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00074451-A\SJ-1692620-2013.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00074451-A\1-00074451-A.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00074451-A\SJ-1692620-2013_EP.pdf,,
"67",1-00073903,"6",SJ-1785899-2014,"33,672.00","33,672.00",SAN JOSE,SANTA ANA ,BRASIL,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00073903\SJ-1785899-2014.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00073903\1-00073903.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00073903\SJ-1785899-2014_EP.pdf,,
"28",2-00498324,"1",A-1596153-2012,"200","200",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00498324\A-1596153-2012.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00498324\2-00498324.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00498324\A-1596153-2012_EP.pdf,,
"29",2-00536595,"1",A-2243972-2020,"232","232",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00536595\A-2243972-2020.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00536595\2-00536595.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00536595\A-2243972-2020_EP.pdf,,
"30",2-00285307,"2",A-0144142-1993,"6,501.44","4,804.44",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00285307\A-0144142-1993.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00285307\2-00285307.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00285307\A-0144142-1993_EP.pdf,,
"31",2-00420488,"1",A-0908750-2004,"241.52","241.52",ALAJUELA,ATENAS,JESUS,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00420488\A-0908750-2004.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00420488\2-00420488.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00420488\A-0908750-2004_EP.pdf,,
"32",2-00284398,"1",A-0144476-1993,"1,265.25","577.25",ALAJUELA,OROTINA,COYOLAR,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284398\A-0144476-1993.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284398\2-00284398.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284398\A-0144476-1993_EP.pdf,,
