ID,NUMERO,PROPIETARIO,NUMERO_EXP,UFINCA,PLANO_EXP,AREA_EXP,TIPO_EXP,SECCION,KM_INI,KM_FI,FECHA_IN,OFICIO_IN,FECHA_FI,FINCA_MAD,MONTO_AVA,NUM_AVA,ESTADO,IMAGEN_PE,OBSERVAC,PROCESO
"100",SII-21-15,,2022-20,,A-0016852-2022,"737",PARCIAL,"2",16+470,16+675,01-ENE-2022,,,2-00194160,"246516439.00",007-2023,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0016852-2022.pdf,,EN PROCESO
"33",P-31,,2019-24,,A-2139763-2019,"682",PARCIAL,"3",57+410,,01-ENE-2019,,,2-00449286,,,DETENIDO,,,
"34",P-28,,2019-25,,A-2139760-2019,"205",PARCIAL,"3",57+450,,01-ENE-2019,,,2-00498324,,,DETENIDO,,,
"35",P-29,,2019-26,,A-2139761-2019,"201",PARCIAL,"3",57+480,,01-ENE-2019,,,2-00536595,,,DETENIDO,,,
"36",P-27,,2019-27,,A-2139765-2019,"701",PARCIAL,"3",57+490,,01-ENE-2019,,,2-00285307,,,DETENIDO,,,
"101",SI-21-17,,2022-09,,A-2299091-2021,"3994",PARCIAL,"2",18+525,18+900,01-ENE-2022,,,2-00420477,"99798196.00",017-2022,NOTIFICACION AVALUO Y RESOLUCION ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2299091-2021.pdf,,EN PROCESO
"1",,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2018-03,1-00704069,SJ-2089871-2018,"2625",PARCIAL,"1",10+075,11+045,01-ENE-2018,, 30-JUL-2019,1-00297013,"787812884.41",07-2018,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\1-00704069\SJ-2089871-2018.pdf,,FINALIZADO
"50",SI-4,,2020-08,,SJ-2201271-2020,"283",PARCIAL,"1",7+410,7+450,01-ENE-2020,,,1-00375536,"75240681.00",009-2020,DESESTIMADO,,,
"75",SI-2A (SI-21-2),,2021-08,,SJ-2286122-2021,"110",PARCIAL,"0",6+380,6+400,01-ENE-2021,,,1-00542465,"23156251.00",004-2021,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2286122-2021.pdf,,EN PROCESO
"83",SIII-22-15,,2022-05,,A-0034675-2022,"377",PARCIAL,"2",48+590,48+900,01-ENE-2022,,,2-00080285,"11356410.00",009-2022,TRAMITE PARA ENVIAR A LA PGR,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0034675-2022.pdf,,EN PROCESO
"84",SIII-22-2,,2022-05,,A-0030327-2022,"585",PARCIAL,"2",48+690,48+905,01-ENE-2022,,,2-00080285,"11356410.00",009-2022,TRAMITE PARA ENVIAR A LA PGR,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0030327-2022.pdf,,EN PROCESO
"85",SIII-22-4,,2022-08,,A-0035829-2022,"983",PARCIAL,"2",55+130,55+345,01-ENE-2022,,,2-00155453,"0.00",,DETENIDO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0035829-2022.pdf,,EN PROCESO
"86",SIII-22-12,,2022-06,,P-0033829-2022,"2056",PARCIAL,"3",75+610,76+040,01-ENE-2022,,,6-00174771,"31838399.00",18-2022,NOTIFICACION AVALUO Y RESOLUCION ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\P-0033829-2022.pdf,,EN PROCESO
"89",SII-21-7,,2023-05,,SJ-2307242-2021,"885",PARCIAL,"1",7+940,8+040,01-ENE-2023,,,1-00092800,"110625000.00",,DETENIDO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2307242-2021.pdf,,EN PROCESO
"90",SII-21-9-A,,2022-07,,SJ-2305725-2021,"549",PARCIAL,"2",14+720,14+790,01-ENE-2022,,,1-00722591,"37090257.00",016-2022,DEVUELTO POR LA PGR,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2305725-2021.pdf,,EN PROCESO
